Date,Label,Account ID,Campaign ID,Adgroup ID,Keyword ID,Publisher,Account Name,*Campaign Name,Ad Group Name,Keyword,Focus Word *,Industry*,Device Type*,Impressions,Cost Per Click,Cost,Click Count,Total Unreconciled Publisher Lead Revenue ,Total Publisher Clickout Revenue ,Leads,Clickouts,Lead Users ,Lead request Users 
10/7/2018,,69299081333737,64106120334583,16704668878552,53059798312989,Google,Edu - Google,Edu - EMT (Mobile),EMT - Classes,emt basic classes online,EMT,Edu,#NAME?,"44,379.00",$0.74 ,$176.53 ,416,$0.00 ,$0.00 ,0,0,0,0
10/7/2018,,10450844446366,32058458600675,62276631381276,92605082868102,Google,Edu - Google,Edu - Police (Mobile),Police - Academy Training,+police +officer requirements,Police,Edu,#NAME?,"63,357.00",$0.19 ,$175.45 ,267,$594.79 ,$148.70 ,35,37,70,87
10/7/2018,,82512686360931,50611858279802,76123227093636,46110146284937,Google,Edu - Google,Edu - Ultrasound (Mobile),Ultrasound - Tech School,+ULTRASOUND +tech Schools Online,Ultrasound,Edu,#NAME?,"81,530.00",$0.77 ,$172.30 ,58,$166.70 ,$41.68 ,10,10,20,25
10/7/2018,,9919550336908,63128854956332,93186839320008,86131065751586,Google,Edu - Google,Edu - Ultrasound (Mobile),Ultrasound - Tech School,[ULTRASOUND Tech Schools],Ultrasound,Edu,#NAME?,"77,137.00",$0.49 ,$162.83 ,117,$183.62 ,$45.91 ,11,11,22,27
10/7/2018,,79830769306194,75248283346919,20306755229971,59886805710582,Google,Edu - Google,Edu - Dispatcher (Mobile),Dispatcher - Training,+dispatcher training,Dispatcher,Edu,#NAME?,"34,982.00",$0.13 ,$162.30 ,465,$179.00 ,$44.75 ,11,11,21,26
10/7/2018,,23439641578348,83148931030400,57851814591203,66995679631368,Google,Edu - Google,Edu - EMT (Mobile),EMT - Classes,classes to become an emt,EMT,Edu,#NAME?,"4,220.00",$0.76 ,$160.72 ,103,$0.00 ,$0.00 ,0,0,0,0
10/7/2018,,1936883924458,40952622317058,72243980507514,77080118251707,Google,Edu - Google,Edu - Police (Mobile),Police - Academy Training,+police +officer qualifications,Police,Edu,#NAME?,"73,589.00",$0.81 ,$138.85 ,84,$337.78 ,$84.45 ,20,21,40,50
10/7/2018,,53506394674477,1173715391200,9844107896178,50119736058174,Google,Edu - Google,Edu - Dispatcher (Mobile),Dispatcher - Training,911.+dispatcher requirements,Dispatcher,Edu,#NAME?,"94,577.00",$1.00 ,$137.61 ,500,$301.27 ,$75.32 ,18,19,35,44
10/7/2018,,53845715248934,87652039544164,72966033604007,10105243965827,Google,Edu - Google,Edu - Prison (Mobile),Prison - Be/Become,+become a prison.+officer,Prison,Edu,#NAME?,"29,883.00",$0.30 ,$135.29 ,270,$137.21 ,$34.30 ,8,9,16,20
10/7/2018,,12062738032264,46200829365203,80863932303559,5819327770295,Google,Edu - Google,Edu - Real.Estate (Mobile),Real.Estate - Become,steps to becoming a +real.estate agent,Real.Estate,Edu,#NAME?,"61,313.00",$0.78 ,$131.21 ,321,$261.38 ,$65.35 ,15,16,31,38
10/7/2018,,77626523064627,90274638159152,74481177384996,8379908089621,Google,Edu - Google,Edu - EMT (Mobile),EMT - Certification,emergency technician certification,EMT,Edu,#NAME?,"22,273.00",$0.05 ,$126.66 ,407,$0.00 ,$0.00 ,0,0,0,0
10/7/2018,,63785623439275,26006234842272,87577048069490,89668199194751,Google,Edu - Google,Edu - Police (Mobile),Police - Academy Training,schooling for +police +officer,Police,Edu,#NAME?,"2,349.00",$0.85 ,$121.11 ,183,$113.27 ,$28.32 ,7,7,13,17
10/7/2018,,75744819602052,58008828592664,13444883518219,81332324328204,Google,Edu - Google,Edu - Respiratory.Therapist (Mobile),Respiratory.Therapist - Become,becoming a +respiratory.therapist,Respiratory.Therapist,Edu,#NAME?,"25,706.00",$0.64 ,$114.60 ,123,$72.81 ,$18.20 ,4,5,9,11
10/7/2018,,3165854926979,70745586519837,29699559803188,39770180194545,Google,Edu - Google,Edu - Probation (Mobile),Probation - Become,how to +become a +probation officer,Probation,Edu,#NAME?,"47,164.00",$0.39 ,$114.09 ,206,$141.79 ,$35.45 ,8,9,17,21
10/7/2018,,12592595621605,92538077850815,80408225999164,67458357744408,Google,Edu - Google,Edu - Dispatcher (Mobile),Dispatcher - Training,+911.operator training,Dispatcher,Edu,#NAME?,"99,496.00",$0.07 ,$112.14 ,93,$264.27 ,$66.07 ,16,17,31,39
10/7/2018,,34434736865402,58523616433834,35996754531584,30108008556621,Google,Edu - Google,Edu - Surgical (Mobile),Surgical - Certification,certified +surgical technologist certification,Surgical,Edu,#NAME?,"1,705.00",$0.87 ,$111.88 ,97,$143.58 ,$35.90 ,8,9,17,21
10/7/2018,,41710973302643,81765998866245,36979183739293,18780081519143,Google,Edu - Google,Edu - X-Ray (Mobile),Radiology - Schools,radiology schools,X-Ray,Edu,#NAME?,"68,979.00",$0.73 ,$110.62 ,174,$82.92 ,$20.73 ,5,5,10,12
10/7/2018,,35360640694384,41353747155174,40322497873809,80449264680553,Google,Edu - Google,Edu - Surgical (Mobile),Surgical - Programs,+surgical tech certification Programs,Surgical,Edu,#NAME?,"28,559.00",$0.74 ,$110.21 ,350,$217.59 ,$54.40 ,13,14,26,32
10/7/2018,,45130879713582,23630769487223,65602050589907,37262321162150,Google,Edu - Google,Edu - EMT (Mobile),EMT - Classes,emergency medical technician education,EMT,Edu,#NAME?,"28,031.00",$0.98 ,$106.19 ,117,$0.00 ,$0.00 ,0,0,0,0
10/7/2018,,71409409199603,73647625066237,50257839170130,54940825386813,Google,Edu - Google,Edu - Ultrasound (Mobile),Ultrasound - Tech School,+ULTRASOUND +tech +Schools near,Ultrasound,Edu,#NAME?,"83,776.00",$0.63 ,$105.84 ,141,$68.09 ,$17.02 ,4,4,8,10
10/7/2018,,41737842802341,68125049771351,59196493180943,3358083483760,Google,Edu - Google,Edu - EMT (Mobile),EMT - Classes,emt trade schools,EMT,Edu,#NAME?,"59,005.00",$0.32 ,$99.99 ,1,$0.00 ,$0.00 ,0,0,0,0
10/7/2018,,91184945093921,57850365605460,49143803780147,63912156748429,Google,Edu - Google,Edu - Surgical (Mobile),Surgical - Classes,+surgical tech degree,Surgical,Edu,#NAME?,"95,151.00",$0.00 ,$99.28 ,6,$128.02 ,$32.01 ,8,8,15,19
10/7/2018,,16956262035468,12329136361490,19969383959358,20373485796976,Google,Edu - Google,Edu - LPN (Mobile),LPN - Schools,+LPN Schools Online,LPN,Edu,#NAME?,"98,470.00",$0.08 ,$98.56 ,340,$189.28 ,$47.32 ,11,12,22,28
10/7/2018,,30466230918581,70114207744413,65129198503031,24712377856970,Google,Edu - Google,Edu - Police (Mobile),Police - Academy Training,+police academy qualifications,Police,Edu,#NAME?,"21,268.00",$0.34 ,$98.30 ,426,$189.92 ,$47.48 ,11,12,22,28
10/7/2018,,87468251152068,93906558948883,32186335882206,59398033633698,Google,Edu - Google,Edu - Real.Estate (Mobile),Real.Estate - Courses,how can i be a +realtor,Real.Estate,Edu,#NAME?,"33,972.00",$0.50 ,$90.46 ,343,$244.70 ,$61.18 ,14,15,29,36
10/7/2018,,35956271126205,46885943436201,87923351024102,58308474469708,Google,Edu - Google,Edu - Security (Mobile),Security - Guard Training,obtaining a security license,Security,Edu,#NAME?,"60,396.00",$0.61 ,$90.18 ,62,$328.29 ,$82.07 ,19,21,39,48
10/7/2018,,23272516319417,425739767095,88172246635926,24671841445282,Bing,Edu - Bing,Edu - EMT (Desktop),EMT - Classes,+emt Classes Online,EMT,Edu,#VALUE!,"86,203.00",$0.24 ,$86.76 ,122,$0.00 ,$0.00 ,0,0,0,0
10/7/2018,,39030985315277,69107871068033,25960826832524,32401942437048,Google,Edu - Google,Edu - LPN (Mobile),LPN - Classes,+LPN Classes near,LPN,Edu,#NAME?,"58,363.00",$0.63 ,$86.14 ,331,$190.52 ,$47.63 ,11,12,22,28
10/7/2018,,14049062936829,92719231007782,27173760738895,64906708205504,Google,Edu - Google,Edu - EMT (Mobile),EMT - Classes,emt b certificate,EMT,Edu,#NAME?,"22,841.00",$0.43 ,$84.83 ,123,$0.00 ,$0.00 ,0,0,0,0
10/7/2018,,63200619091819,89940273311981,66384311318903,13174171133415,Google,Edu - Google,Edu - Police (Mobile),Police - Academy Training,+police +academy training +in,Police,Edu,#NAME?,"25,899.00",$0.94 ,$83.21 ,356,$218.80 ,$54.70 ,13,14,26,32
10/7/2018,,51895423580639,6837741146132,33356797319604,27609106925923,Google,Edu - Google,Edu - Phlebotomy (Mobile),Phlebotomy - Training,education and training for +phlebotomist,Phlebotomy,Edu,#NAME?,"66,915.00",$0.55 ,$82.14 ,147,$113.07 ,$28.27 ,7,7,13,17
10/7/2018,,79773559022419,44878862197821,4622700528948,44036685536741,Google,Edu - Google,Edu - Police (Mobile),Police - Academy Training,requirements to get into +police academy,Police,Edu,#NAME?,"89,038.00",$0.96 ,$81.34 ,488,$136.45 ,$34.11 ,8,9,16,20
10/7/2018,,3747856221650,82720865260406,87606252583403,80117647222150,Google,Edu - Google,Edu - LPN (Mobile),LPN - Classes,+LPN Classes,LPN,Edu,#NAME?,"31,011.00",$0.67 ,$75.27 ,12,$163.63 ,$40.91 ,10,10,19,24
10/7/2018,,1010404892189,78621039435441,89914357618572,8247929038560,Google,Edu - Google,Edu - Police (Mobile),Police - Academy Training,+police academy info,Police,Edu,#NAME?,"35,681.00",$0.24 ,$72.53 ,211,$108.73 ,$27.18 ,6,7,13,16
10/7/2018,,32438406005043,81896509696667,41670119601870,80959458288579,Google,Edu - Google,Edu - LPN (Mobile),LPN - Classes,+LPN,LPN,Edu,#NAME?,"36,262.00",$0.82 ,$70.88 ,106,$313.09 ,$78.27 ,18,20,37,46
10/7/2018,,17609039629679,6340432858190,45362467472501,72993526106622,Google,Edu - Google,Edu - Dispatcher (Mobile),Dispatcher - Courses,911.+dispatcher training courses,Dispatcher,Edu,#NAME?,"77,607.00",$0.75 ,$70.22 ,168,$111.32 ,$27.83 ,7,7,13,16
10/7/2018,,9871484909254,8100865043996,26195470565495,30356072064177,Google,Edu - Google,Edu - LPN (Mobile),LPN - Classes,+LPN Classes,LPN,Edu,#NAME?,"83,818.00",$0.11 ,$70.14 ,411,$187.30 ,$46.83 ,11,12,22,28
10/7/2018,,64418842536321,74271550039701,87184162573058,32776609255395,Google,Edu - Google,Edu - Police (Mobile),Police - Academy Training,training for +law +enforcement,Police,Edu,#NAME?,"9,553.00",$0.36 ,$64.27 ,56,$149.72 ,$37.43 ,9,9,18,22
10/7/2018,,66445518160340,65960606364856,55849865558784,72605096791697,Google,Edu - Google,Edu - Police (Mobile),Police - Academy Training,+police job requirements,Police,Edu,#NAME?,"6,181.00",$0.22 ,$63.52 ,398,$223.11 ,$55.78 ,13,14,26,33
10/7/2018,,35350836907851,37921687245771,1442233002491,9005498329818,Google,Edu - Google,Edu - Police (Mobile),Police - Academy Training,+law +enforcement,Police,Edu,#NAME?,"23,132.00",$0.23 ,$63.19 ,32,$38.40 ,$9.60 ,2,2,5,6
10/7/2018,,49627177953015,19014093312672,74126864787273,82825164214590,Google,Edu - Google,Edu - Police (Mobile),Police - Academy Training,+police +officer academy,Police,Edu,#NAME?,"37,823.00",$0.06 ,$63.14 ,358,$111.29 ,$27.82 ,7,7,13,16
10/7/2018,,86043487742048,20950720642637,46137754002568,65378455481674,Google,Edu - Google,Edu - LPN (Mobile),LPN - Classes,+LPN +Classes,LPN,Edu,#NAME?,"22,348.00",$0.48 ,$61.56 ,402,$137.23 ,$34.31 ,8,9,16,20
10/7/2018,,22792203942054,18134711142635,79559274171120,54884392740549,Google,Edu - Google,Edu - EMT (Mobile),EMT - Training,+emt training,EMT,Edu,#NAME?,"67,745.00",$0.92 ,$60.96 ,165,$0.00 ,$0.00 ,0,0,0,0
10/7/2018,,21953695778168,22150141761594,69220719449132,57524979705639,Google,Edu - Google,Edu - LPN (Mobile),LPN - Classes,+LPN Classes +in,LPN,Edu,#NAME?,"78,086.00",$0.44 ,$60.92 ,50,$146.79 ,$36.70 ,9,9,17,22
10/7/2018,,31651879629076,26996283306330,65314267569581,35581595423998,Google,Edu - Google,Edu - Surgical (Mobile),Surgical - Classes,+surgical technology for the surgical technologist,Surgical,Edu,#NAME?,"56,797.00",$0.85 ,$60.50 ,256,$68.47 ,$17.12 ,4,4,8,10
10/7/2018,,23813610254885,47097818283157,91922136073559,51275133925931,Google,Edu - Google,Edu - Police (Mobile),Police - Academy Training,requirements for +police academy,Police,Edu,#NAME?,"18,222.00",$0.46 ,$60.01 ,55,$143.38 ,$35.85 ,8,9,17,21
10/7/2018,,43143717297473,58821304352981,6504217763259,68611833590672,Google,Edu - Google,Edu - Dispatcher (Mobile),Dispatcher - Training,emergency medical +dispatcher training,Dispatcher,Edu,#NAME?,"57,123.00",$0.68 ,$59.29 ,127,$122.13 ,$30.53 ,7,8,14,18
10/7/2018,,55312039491446,90263706209353,29345298294213,93312208614068,Google,Edu - Google,Edu - Police (Mobile),Police - Academy Training,+police education requirements,Police,Edu,#NAME?,"60,613.00",$0.87 ,$59.11 ,192,$281.01 ,$70.25 ,17,18,33,41
10/7/2018,,82453603648952,17735172355631,58395884597135,60486794002048,Google,Edu - Google,Edu - LPN (Mobile),LPN - Classes,+LPN +Classes +in,LPN,Edu,#NAME?,"33,848.00",$0.06 ,$58.21 ,467,$108.89 ,$27.22 ,6,7,13,16
10/7/2018,,82273198238152,94183332649627,68311478309642,57043179595329,Google,Edu - Google,Edu - Real.Estate (Mobile),Real.Estate - Become,hot to +become a +realtor,Real.Estate,Edu,#NAME?,"58,926.00",$0.93 ,$55.61 ,341,$78.96 ,$19.74 ,5,5,9,12
10/7/2018,,18722209293110,30317151145657,54160865751855,19107494937571,Google,Edu - Google,Edu - LPN (Mobile),LPN - Programs,+LPN +Programs +in,LPN,Edu,#NAME?,"40,786.00",$0.43 ,$55.15 ,321,$143.34 ,$35.84 ,8,9,17,21
10/7/2018,,24770888218366,7564543105202,84657038374774,18289703023891,Google,Edu - Google,Edu - EMT (Mobile),EMT - Classes,emt 1 training,EMT,Edu,#NAME?,"44,118.00",$0.08 ,$54.70 ,89,$0.00 ,$0.00 ,0,0,0,0
10/7/2018,,13212825960898,57363834308855,18991935869296,88746904613744,Bing,Edu - Bing,Edu - EMT (Desktop),EMT - Classes,+emt Classes near,EMT,Edu,#VALUE!,"72,861.00",$0.93 ,$54.69 ,380,$0.00 ,$0.00 ,0,0,0,0
10/7/2018,,31456884498880,92630517624937,29281859344639,26020183669524,Google,Edu - Google,Edu - Phlebotomy (Mobile),Phlebotomy - Certification,become a certified +phlebotomist,Phlebotomy,Edu,#NAME?,"85,767.00",$0.90 ,$54.00 ,410,$60.30 ,$15.08 ,4,4,7,9
10/7/2018,,75546138080896,7273814576929,30993191646350,53651220618382,Google,Edu - Google,Edu - Phlebotomy (Mobile),Phlebotomy - Certification,how long to become a +phlebotomist,Phlebotomy,Edu,#NAME?,"97,750.00",$0.07 ,$53.66 ,457,$73.97 ,$18.49 ,4,5,9,11
10/7/2018,,9013652330055,59401979990482,73752971576973,33324882274906,Google,Edu - Google,Edu - Police (Mobile),Police - Academy Training,+police learning,Police,Edu,#NAME?,"84,111.00",$0.46 ,$53.11 ,69,$137.83 ,$34.46 ,8,9,16,20
10/7/2018,,25446804537458,33621346431306,47862784926616,92193686714273,Google,Edu - Google,Edu - X-Ray (Mobile),Radiology - Schools,schools for x ray technicians,X-Ray,Edu,#NAME?,"1,313.00",$0.65 ,$52.01 ,121,$85.80 ,$21.45 ,5,5,10,13
10/7/2018,,82734662758004,20656819298609,20544417307168,40793480317454,Google,Edu - Google,Edu - EKG (Mobile),EKG - Certification,certified +ekg technician school,EKG,Edu,#NAME?,"21,106.00",$0.98 ,$51.39 ,28,$0.00 ,$0.00 ,0,0,0,0
10/7/2018,,2247139755077,53242442429708,51702143864270,4954577997448,Google,Edu - Google,Edu - Prison (Mobile),Prison - Be/Become,how to be a +prison guard,Prison,Edu,#NAME?,"20,291.00",$0.41 ,$50.79 ,31,$36.97 ,$9.24 ,2,2,4,5
10/7/2018,,10021215507865,37796819021164,31188839048367,82376082292646,Google,Edu - Google,Edu - Security (Mobile),Security - Guard Training,security guarding license,Security,Edu,#NAME?,"17,452.00",$0.24 ,$50.76 ,115,$112.02 ,$28.01 ,7,7,13,16
10/7/2018,,4340548044890,87699233724633,6652060766095,63860178286324,Google,Edu - Google,Edu - Police (Mobile),Police - Academy Training,+law +enforcement training Programs,Police,Edu,#NAME?,"85,365.00",$0.63 ,$50.69 ,160,$49.62 ,$12.41 ,3,3,6,7
10/7/2018,,40275171498656,76790271835446,87833669199828,76232880120793,Google,Edu - Google,Edu - Phlebotomy (Mobile),Phlebotomy - Training Test,weekend +phlebotomy course,Phlebotomy,Edu,#NAME?,"28,624.00",$0.66 ,$50.33 ,96,$49.17 ,$12.29 ,3,3,6,7
10/7/2018,,73565997648228,41204052604916,36292112803643,41985303923749,Google,Edu - Google,Edu - Phlebotomy (Mobile),Phlebotomy - Classes,+Blood Classes,Phlebotomy,Edu,#NAME?,"74,197.00",$0.09 ,$50.21 ,297,$107.20 ,$26.80 ,6,7,13,16
10/7/2018,,87473776611428,87619748646151,45885219994077,48841739820008,Google,Edu - Google,Edu - Police (Mobile),Police - Academy Training,requirements to join +police academy,Police,Edu,#NAME?,"76,469.00",$0.80 ,$49.57 ,41,$33.40 ,$8.35 ,2,2,4,5
10/7/2018,,51134526009815,42179880296246,13295483800502,78846263355517,Google,Edu - Google,Edu - Surgical (Mobile),Surgical - Classes,+surgical technologist qualifications,Surgical,Edu,#NAME?,"3,725.00",$0.73 ,$49.00 ,14,$94.89 ,$23.72 ,6,6,11,14
10/7/2018,,58377830612494,91322498897654,34658141803968,85625896979949,Google,Edu - Google,Edu - Police (Mobile),Police - Academy Training,+police +officer training and education,Police,Edu,#NAME?,"84,424.00",$0.81 ,$48.97 ,363,$27.51 ,$6.88 ,2,2,3,4
10/7/2018,,14744914659661,83426943558104,28631683635692,62192928270250,Google,Edu - Google,Edu - Real.Estate (Mobile),Real.Estate - Courses,+real.estate agent training requirements,Real.Estate,Edu,#NAME?,"3,498.00",$0.59 ,$48.47 ,68,$167.10 ,$41.78 ,10,10,20,25
10/7/2018,,62850344588316,53111637925154,42270856195180,31318416940239,Bing,Edu - Bing,Edu - EMT (Desktop),EMT - Classes,+emt +Classes near,EMT,Edu,#VALUE!,"53,236.00",$0.44 ,$47.41 ,467,$0.00 ,$0.00 ,0,0,0,0
10/7/2018,,43691998993566,2846809489512,38291290563992,49789423252450,Google,Edu - Google,Edu - Dispatcher (Mobile),Dispatcher - Training,police.+dispatcher qualifications,Dispatcher,Edu,#NAME?,"9,425.00",$0.01 ,$47.23 ,437,$54.78 ,$13.70 ,3,3,6,8
10/7/2018,,80446867101892,12803950205875,62080963962155,87883945474705,Google,Edu - Google,Edu - EMT (Desktop),EMT - Certification,emt certification training,EMT,Edu,#VALUE!,"91,319.00",$0.86 ,$46.58 ,430,$0.00 ,$0.00 ,0,0,0,0
10/7/2018,,69868922856093,42468364248171,25846984699320,44396260577000,Google,Edu - Google,Edu - Phlebotomy (Mobile),Phlebotomy - Certification,how to become +phlebotomist,Phlebotomy,Edu,#NAME?,"98,930.00",$0.07 ,$46.34 ,156,$51.12 ,$12.78 ,3,3,6,8
10/7/2018,,37547384604613,83246785977253,58065910021984,46516608833436,Google,Edu - Google,Edu - Probation (Mobile),Probation - Become,jobs in +probation department,Probation,Edu,#NAME?,"7,488.00",$0.94 ,$45.31 ,439,$50.02 ,$12.51 ,3,3,6,7
10/7/2018,,51657023036676,23954863050648,72520251364333,45194751455027,Google,Edu - Google,Edu - Dispatcher (Mobile),Dispatcher - Training,+dispatcher training Online,Dispatcher,Edu,#NAME?,"37,987.00",$0.10 ,$45.20 ,447,$68.84 ,$17.21 ,4,4,8,10
10/7/2018,,53956405825581,23043424562619,78480308321059,39723020005981,Google,Edu - Google,Edu - Dispatcher (Mobile),Dispatcher - Training,requirements for +dispatcher,Dispatcher,Edu,#NAME?,"28,945.00",$0.78 ,$43.56 ,226,$120.56 ,$30.14 ,7,8,14,18
10/7/2018,,24707535527258,73555415748292,378896578036,18647934935513,Google,Edu - Google,Edu - Probation (Mobile),Probation - Training,train to become a +probation officer,Probation,Edu,#NAME?,"61,387.00",$0.15 ,$43.50 ,66,$31.65 ,$7.91 ,2,2,4,5
10/7/2018,,20674564424427,80387905123888,43648611442694,75840490915669,Google,Edu - Google,Edu - Police (Mobile),Police - Academy Training,classes for +police +officers,Police,Edu,#NAME?,"76,381.00",$0.70 ,$42.45 ,123,$37.86 ,$9.47 ,2,2,4,6
10/7/2018,,66609240984360,79334857770300,93602420269542,28395952234062,Bing,Edu - Bing,Edu - Ultrasound (Desktop),Ultrasound - Tech School,+ULTRASOUND +Technician,Ultrasound,Edu,#VALUE!,"41,832.00",$0.83 ,$42.25 ,397,$34.74 ,$8.69 ,2,2,4,5
10/7/2018,,39908089057027,20482946162813,54157497420206,85299789964139,Google,Edu - Google,Edu - Surgical (Mobile),Surgical - Classes,+surgical tech,Surgical,Edu,#NAME?,"11,499.00",$0.68 ,$42.22 ,39,$133.78 ,$33.45 ,8,8,16,20
10/7/2018,,35129492461241,61594490468258,4398801190205,90832058078686,Google,Edu - Google,Edu - Dispatcher (Mobile),Dispatcher - Become,become a +911.operator,Dispatcher,Edu,#NAME?,"84,611.00",$0.26 ,$42.19 ,275,$59.02 ,$14.76 ,3,4,7,9
10/7/2018,,86857378378396,11227978141477,33352525512726,53911713351413,Google,Edu - Google,Edu - LPN (Mobile),LPN - Classes,[LPN Classes],LPN,Edu,#NAME?,"9,547.00",$0.18 ,$40.95 ,447,$162.38 ,$40.60 ,10,10,19,24
10/7/2018,,83692398153517,39197231618516,75717771885533,67182132871226,Google,Edu - Google,Edu - LPN (Mobile),LPN - Programs,+LPN +Programs near,LPN,Edu,#NAME?,"48,930.00",$0.93 ,$40.78 ,32,$111.22 ,$27.81 ,7,7,13,16
10/7/2018,,57081758059344,63008932190241,48706818735509,18544641711989,Google,Edu - Google,Edu - LPN (Mobile),LPN - Classes,+LPN +Classes +Online,LPN,Edu,#NAME?,"24,754.00",$0.80 ,$40.47 ,266,$43.03 ,$10.76 ,3,3,5,6
10/7/2018,,15037493096146,17449695641303,22990033209508,56713815030533,Google,Edu - Google,Edu - X-Ray (Mobile),Radiology - Schools,x ray program,X-Ray,Edu,#NAME?,"48,821.00",$0.44 ,$39.97 ,380,$12.27 ,$3.07 ,1,1,1,2
10/7/2018,,26268174248042,51304277541570,63379059711141,51563587908973,Google,Edu - Google,Edu - EMT (Mobile),EMT - Training,+emt training +in,EMT,Edu,#NAME?,"91,473.00",$0.58 ,$38.59 ,229,$0.00 ,$0.00 ,0,0,0,0
10/7/2018,,27062035884917,77874481550474,10305588670997,77663593080289,Google,Edu - Google,Edu - Probation (Mobile),Probation - Become,being a +probation officer,Probation,Edu,#NAME?,"32,848.00",$0.48 ,$38.55 ,185,$66.37 ,$16.59 ,4,4,8,10
